method,metric,p_value,normal_distribution
metoda1-1,ROC-AUC,,
metoda1-2,ROC-AUC,,
metoda1-3,ROC-AUC,,
metoda1-4,ROC-AUC,,
metoda1-5,ROC-AUC,,
metoda10,ROC-AUC,,
metoda11,ROC-AUC,,
metoda12-catboost,ROC-AUC,,
metoda12-rf,ROC-AUC,,
metoda13,ROC-AUC,,
metoda14,ROC-AUC,,
metoda15,ROC-AUC,,
metoda16,ROC-AUC,,
metoda17,ROC-AUC,,
metoda18,ROC-AUC,,
metoda19,ROC-AUC,,
metoda2,ROC-AUC,,
metoda20,ROC-AUC,,
metoda3,ROC-AUC,,
metoda4,ROC-AUC,,
metoda5,ROC-AUC,,
metoda6,ROC-AUC,,
metoda7,ROC-AUC,,
metoda8,ROC-AUC,,
metoda9,ROC-AUC,,
