,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9540594434515065,0.1833019390250728,0.9288915926495631,0.9835295628754827,0.996920945393905,-0.85879010527574,0.999373746808856,0.15830078057863706,0.8841492140984937,-0.2355741839947571
Precision,0.9540594434515065,1.0,-0.06231355351851697,0.8039421355998833,0.9343322923994154,0.9374059935211171,-0.7830013711101071,0.9468881081209788,0.17962691856965687,0.8751091890184682,-0.27089913775603824
Recall,0.1833019390250728,-0.06231355351851697,1.0,0.5279441936227045,0.16210383274152956,0.24445318295363752,-0.028578751811208798,0.21656286031345065,0.047869201365108076,0.4040381664127827,-0.20770603577064878
F1-Score,0.9288915926495631,0.8039421355998833,0.5279441936227045,1.0,0.9027106932543723,0.9469451836788529,-0.7333973600969574,0.9411642856203584,0.1697660512937456,0.8934568780700706,-0.2617838808225027
ROC-AUC,0.9835295628754827,0.9343322923994154,0.16210383274152956,0.9027106932543723,1.0,0.9829538601262904,-0.865189439267162,0.9815958589494024,0.11075635080233431,0.8621120953058969,-0.24448056922922393
MCC,0.996920945393905,0.9374059935211171,0.24445318295363752,0.9469451836788529,0.9829538601262904,1.0,-0.8538826202672004,0.9983237743802893,0.15032254566249886,0.8864062879534985,-0.24103116124966367
Log Loss,-0.85879010527574,-0.7830013711101071,-0.028578751811208798,-0.7333973600969574,-0.865189439267162,-0.8538826202672004,1.0,-0.8495500195746243,-0.057157801519599614,-0.6837600371660628,0.031840089272686375
Cohen's Kappa,0.999373746808856,0.9468881081209788,0.21656286031345065,0.9411642856203584,0.9815958589494024,0.9983237743802893,-0.8495500195746243,1.0,0.1615636755332462,0.8868959948941,-0.24055612093618423
Execution Time (s),0.15830078057863706,0.17962691856965687,0.047869201365108076,0.1697660512937456,0.11075635080233431,0.15032254566249886,-0.057157801519599614,0.1615636755332462,1.0,0.062328376151570046,-0.1260975304760622
CV Accuracy (Mean),0.8841492140984937,0.8751091890184682,0.4040381664127827,0.8934568780700706,0.8621120953058969,0.8864062879534985,-0.6837600371660628,0.8868959948941,0.062328376151570046,1.0,-0.30077022235759704
CV Accuracy (Std Dev),-0.2355741839947571,-0.27089913775603824,-0.20770603577064878,-0.2617838808225027,-0.24448056922922393,-0.24103116124966367,0.031840089272686375,-0.24055612093618423,-0.1260975304760622,-0.30077022235759704,1.0
