method,AUC-PR,rank
metoda9,0.7978617968445912,1
metoda13,0.7917503688016959,2
metoda17,0.7791651318483357,3
metoda11,0.774640281602486,4
metoda20,0.7711242356505968,5
metoda1-2,0.7683615181125112,6
metoda14,0.7675750022272304,7
metoda10,0.7663788880811161,8
metoda5,0.7655217158749726,9
metoda12-rf,0.7652223940643136,10
metoda2,0.763470465809327,11
metoda8,0.763470465809327,12
metoda6,0.763470465809327,13
metoda15,0.763470465809327,14
metoda1-1,0.763314205821124,15
metoda12-catboost,0.7619373118082295,16
metoda7,0.7553536059317029,17
metoda18,0.7543152033343534,18
metoda3,0.7516075218281909,19
metoda16,0.7422418562463169,20
metoda1-4,0.7262594545535636,21
metoda1-3,0.7182337271181943,22
metoda19,0.7179584905966504,23
metoda1-5,0.7082327181247444,24
metoda4,0.7061920514581711,25
